"","speech_act","speaker_role","target_child_age_years","gloss","freq","total_freq","relFreq","relFreq_ppt"
"45","other","Father",1.72689938398357,"and",1,63,0.0158730158730159,15.8730158730159
"46","other","Father",1.75,"and",20,756,0.0264550264550265,26.4550264550265
"47","other","Father",1.75,"or",2,756,0.00264550264550265,2.64550264550265
"48","other","Father",1.75273785078713,"and",3,128,0.0234375,23.4375
"49","other","Father",1.77464065708419,"and",6,197,0.0304568527918782,30.4568527918782
"50","other","Father",1.77737850787132,"and",2,114,0.0175438596491228,17.5438596491228
"51","other","Father",1.79380561259411,"and",6,132,0.0454545454545455,45.4545454545455
"52","other","Father",1.81023271731691,"and",6,246,0.024390243902439,24.390243902439
"53","other","Father",1.8184462696783,"and",2,48,0.0416666666666667,41.6666666666667
"54","other","Father",1.83333333333333,"and",42,1533,0.0273972602739726,27.3972602739726
"55","other","Father",1.83333333333333,"or",1,1533,0.000652315720808871,0.652315720808871
"56","other","Father",1.84702258726899,"and",2,36,0.0555555555555556,55.5555555555556
"57","other","Father",1.84976043805613,"and",3,92,0.0326086956521739,32.6086956521739
"58","other","Father",1.86344969199179,"and",5,102,0.0490196078431373,49.0196078431373
"59","other","Father",1.86618754277892,"and",2,15,0.133333333333333,133.333333333333
"60","other","Father",1.86892539356605,"and",2,7,0.285714285714286,285.714285714286
"61","other","Father",1.87713894592745,"and",2,33,0.0606060606060606,60.6060606060606
"62","other","Father",1.89356605065024,"and",2,52,0.0384615384615385,38.4615384615385
"63","other","Father",1.90451745379877,"and",6,173,0.0346820809248555,34.6820809248555
"64","other","Father",1.91666666666667,"and",18,720,0.025,25
"65","other","Father",1.91666666666667,"or",1,720,0.00138888888888889,1.38888888888889
"66","other","Father",1.92488021902806,"and",3,33,0.0909090909090909,90.9090909090909
"67","other","Father",1.93309377138946,"and",3,85,0.0352941176470588,35.2941176470588
"68","other","Father",1.93309377138946,"or",2,85,0.0235294117647059,23.5294117647059
"69","other","Father",1.94130732375086,"and",1,37,0.027027027027027,27.027027027027
"70","other","Father",1.94952087611225,"and",2,23,0.0869565217391304,86.9565217391304
"71","other","Father",1.95499657768652,"and",1,15,0.0666666666666667,66.6666666666667
"72","other","Father",1.95773442847365,"and",2,28,0.0714285714285714,71.4285714285714
"73","other","Father",1.96868583162218,"and",13,162,0.0802469135802469,80.2469135802469
"74","other","Father",1.98511293634497,"and",8,86,0.0930232558139535,93.0232558139535
"75","other","Father",1.9878507871321,"and",4,53,0.0754716981132075,75.4716981132075
"76","other","Father",1.99332648870637,"and",3,58,0.0517241379310345,51.7241379310345
"77","other","Father",2,"and",33,2194,0.0150410209662716,15.0410209662717
"78","other","Father",2,"or",3,2194,0.00136736554238833,1.36736554238833
"79","other","Father",2.00547570157426,"and",5,136,0.0367647058823529,36.7647058823529
"80","other","Father",2.0082135523614,"and",9,94,0.0957446808510638,95.7446808510638
"81","other","Father",2.01368925393566,"and",5,57,0.087719298245614,87.719298245614
"82","other","Father",2.01642710472279,"and",9,101,0.0891089108910891,89.1089108910891
"83","other","Father",2.01642710472279,"or",2,101,0.0198019801980198,19.8019801980198
"84","other","Father",2.01916495550992,"and",2,12,0.166666666666667,166.666666666667
"85","other","Father",2.02190280629706,"and",2,64,0.03125,31.25
"86","other","Father",2.02464065708419,"and",7,100,0.07,70
"87","other","Father",2.02737850787132,"and",3,43,0.0697674418604651,69.7674418604651
"88","other","Father",2.03011635865845,"and",9,116,0.0775862068965517,77.5862068965517
"89","other","Father",2.03559206023272,"and",1,65,0.0153846153846154,15.3846153846154
"90","other","Father",2.04380561259411,"and",6,91,0.0659340659340659,65.9340659340659
"91","other","Father",2.04654346338125,"and",13,134,0.0970149253731343,97.0149253731343
"92","other","Father",2.04654346338125,"or",2,134,0.0149253731343284,14.9253731343284
"93","other","Father",2.06023271731691,"and",8,107,0.0747663551401869,74.7663551401869
"94","other","Father",2.06297056810404,"and",2,32,0.0625,62.5
"95","other","Father",2.06570841889117,"and",59,689,0.0856313497822932,85.6313497822932
"96","other","Father",2.07118412046543,"and",6,78,0.0769230769230769,76.9230769230769
"97","other","Father",2.07118412046543,"or",3,78,0.0384615384615385,38.4615384615385
"98","other","Father",2.08213552361396,"and",8,151,0.0529801324503311,52.9801324503311
"99","other","Father",2.08333333333333,"and",34,2559,0.0132864400156311,13.2864400156311
"100","other","Father",2.08333333333333,"or",5,2559,0.00195388823759281,1.95388823759281
"101","other","Father",2.08607118412047,"and",1,1,1,1000
"102","other","Father",2.09154688569473,"and",12,135,0.0888888888888889,88.8888888888889
"103","other","Father",2.10249828884326,"and",1,26,0.0384615384615385,38.4615384615385
"104","other","Father",2.11071184120465,"and",1,40,0.025,25
"105","other","Father",2.13535249828884,"and",1,9,0.111111111111111,111.111111111111
"106","other","Father",2.13809034907598,"and",10,94,0.106382978723404,106.382978723404
