"","speaker_role","target_child_age_years","gloss","freq","total_freq","relFreq","relFreq_ppt"
"1","Father",1.07118412046543,"and",2,67,0.0298507462686567,29.8507462686567
"2","Father",1.08333333333333,"and",2,417,0.00479616306954436,4.79616306954436
"3","Father",1.16666666666667,"and",6,1391,0.00431344356578001,4.31344356578001
"4","Father",1.16666666666667,"or",1,1391,0.000718907260963336,0.718907260963336
"5","Father",1.1694045174538,"and",8,384,0.0208333333333333,20.8333333333333
"6","Father",1.1694045174538,"or",3,384,0.0078125,7.8125
"7","Father",1.17488021902806,"and",1,597,0.0016750418760469,1.6750418760469
"8","Father",1.18583162217659,"and",6,234,0.0256410256410256,25.6410256410256
"9","Father",1.18583162217659,"or",1,234,0.00427350427350427,4.27350427350427
"10","Father",1.19404517453799,"and",18,1742,0.0103329506314581,10.3329506314581
"11","Father",1.19404517453799,"or",1,1742,0.000574052812858783,0.574052812858783
"12","Father",1.20499657768652,"and",4,279,0.014336917562724,14.336917562724
"13","Father",1.20499657768652,"or",1,279,0.003584229390681,3.584229390681
"14","Father",1.22416153319644,"and",4,930,0.0043010752688172,4.3010752688172
"15","Father",1.24880219028063,"and",1,22,0.0454545454545455,45.4545454545455
"16","Father",1.25,"and",23,2317,0.00992662926197669,9.92662926197669
"17","Father",1.25,"or",2,2317,0.000863185153215365,0.863185153215365
"18","Father",1.26368925393566,"and",6,734,0.00817438692098093,8.17438692098093
"19","Father",1.26368925393566,"or",2,734,0.00272479564032698,2.72479564032698
"20","Father",1.3184462696783,"and",1,75,0.0133333333333333,13.3333333333333
"21","Father",1.32392197125257,"and",2,271,0.00738007380073801,7.38007380073801
"22","Father",1.33333333333333,"and",4,714,0.00560224089635854,5.60224089635854
"23","Father",1.33333333333333,"or",3,714,0.00420168067226891,4.20168067226891
"24","Father",1.3388090349076,"and",19,922,0.0206073752711497,20.6073752711497
"25","Father",1.34154688569473,"and",17,1616,0.010519801980198,10.519801980198
"26","Father",1.34154688569473,"or",2,1616,0.00123762376237624,1.23762376237624
"27","Father",1.36071184120465,"and",49,3082,0.0158987670343932,15.8987670343933
"28","Father",1.36344969199179,"and",35,2493,0.0140393100681909,14.0393100681909
"29","Father",1.36344969199179,"or",6,2493,0.00240673886883273,2.40673886883273
"30","Father",1.36618754277892,"and",14,1314,0.0106544901065449,10.6544901065449
"31","Father",1.37987679671458,"and",16,1397,0.0114531138153185,11.4531138153185
"32","Father",1.3990417522245,"and",41,2810,0.0145907473309609,14.5907473309609
"33","Father",1.40177960301164,"and",26,2106,0.0123456790123457,12.3456790123457
"34","Father",1.40177960301164,"or",4,2106,0.00189933523266857,1.89933523266857
"35","Father",1.41666666666667,"and",21,2603,0.00806761429120246,8.06761429120246
"36","Father",1.41666666666667,"or",1,2603,0.000384172109104879,0.384172109104879
"37","Father",1.42214236824093,"and",47,3909,0.0120235354310565,12.0235354310565
"38","Father",1.42214236824093,"or",3,3909,0.000767459708365311,0.767459708365311
"39","Father",1.42488021902806,"and",5,378,0.0132275132275132,13.2275132275132
"40","Father",1.42488021902806,"or",1,378,0.00264550264550265,2.64550264550265
"41","Father",1.43309377138946,"and",5,656,0.00762195121951219,7.6219512195122
"42","Father",1.44130732375086,"and",32,2648,0.0120845921450151,12.0845921450151
"43","Father",1.44404517453799,"and",1,88,0.0113636363636364,11.3636363636364
"44","Father",1.44678302532512,"and",16,1099,0.0145586897179254,14.5586897179254
"45","Father",1.44678302532512,"or",2,1099,0.00181983621474067,1.81983621474067
"46","Father",1.45499657768652,"and",1,22,0.0454545454545455,45.4545454545455
"47","Father",1.46047227926078,"and",76,4293,0.017703237829024,17.703237829024
"48","Father",1.46868583162218,"or",1,38,0.0263157894736842,26.3157894736842
"49","Father",1.47142368240931,"and",3,272,0.0110294117647059,11.0294117647059
"50","Father",1.47416153319644,"and",3,85,0.0352941176470588,35.2941176470588
"51","Father",1.47416153319644,"or",1,85,0.0117647058823529,11.7647058823529
"52","Father",1.4796372347707,"and",65,4649,0.0139815013981501,13.9815013981501
"53","Father",1.4796372347707,"or",5,4649,0.00107550010755001,1.07550010755001
"54","Father",1.48237508555784,"and",15,730,0.0205479452054795,20.5479452054795
"55","Father",1.49332648870637,"and",34,2360,0.0144067796610169,14.4067796610169
"56","Father",1.5,"and",56,2429,0.0230547550432277,23.0547550432277
"57","Father",1.5,"or",5,2429,0.00205846027171676,2.05846027171676
"58","Father",1.50547570157426,"and",7,330,0.0212121212121212,21.2121212121212
"59","Father",1.50547570157426,"or",3,330,0.00909090909090909,9.09090909090909
"60","Father",1.5082135523614,"and",1,93,0.010752688172043,10.752688172043
"61","Father",1.51095140314853,"and",4,184,0.0217391304347826,21.7391304347826
"62","Father",1.51368925393566,"or",1,75,0.0133333333333333,13.3333333333333
"63","Father",1.51916495550992,"and",46,2288,0.0201048951048951,20.1048951048951
"64","Father",1.52190280629706,"and",1,8,0.125,125
"65","Father",1.52190280629706,"or",1,8,0.125,125
"66","Father",1.52464065708419,"and",23,1551,0.014829142488717,14.829142488717
"67","Father",1.52464065708419,"or",3,1551,0.00193423597678917,1.93423597678917
"68","Father",1.53011635865845,"and",1,14,0.0714285714285714,71.4285714285714
"69","Father",1.53832991101985,"and",73,3575,0.0204195804195804,20.4195804195804
"70","Father",1.53832991101985,"or",7,3575,0.00195804195804196,1.95804195804196
"71","Father",1.54106776180698,"and",4,137,0.0291970802919708,29.1970802919708
"72","Father",1.54380561259411,"and",11,1318,0.00834597875569044,8.34597875569044
"73","Father",1.54380561259411,"or",3,1318,0.00227617602427921,2.27617602427921
